Security,CO18 Comdty                                                     ,
Start Date,2/13/2004 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,77.87,92
4/11/2023,76.71,133
4/10/2023,75.8,22
4/6/2023,76.27,118
4/5/2023,76.39,1149
4/4/2023,76.24,78
4/3/2023,76.33,59
3/31/2023,74.66,91
3/30/2023,73.89,207
3/29/2023,73.3,290
3/28/2023,73.76,57
3/27/2023,73.63,171
3/24/2023,71.22,183
3/23/2023,71.73,48
3/22/2023,72.14,54
3/21/2023,71.34,65
3/20/2023,70.72,248
3/17/2023,70.03,174
3/16/2023,70.75,431
3/15/2023,69.95,688
3/14/2023,72.37,200
3/13/2023,74.58,729
3/10/2023,75.75,202
3/9/2023,75.13,191
3/8/2023,75.96,475
3/7/2023,76.41,451
3/6/2023,78.46,655
3/3/2023,78.08,53
3/2/2023,77.01,319
3/1/2023,76.62,682
2/28/2023,76.32,721
2/27/2023,75.81,296
2/24/2023,76.68,607
2/23/2023,76.4,1369
2/22/2023,75.62,1822
2/21/2023,76.78,711
2/20/2023,77.6,79
2/17/2023,76.6,840
2/16/2023,78.09,649
2/15/2023,78.15,2641
2/14/2023,78.22,518
2/13/2023,78.59,646
2/10/2023,78.14,1077
2/9/2023,76.92,514
2/8/2023,77.48,589
2/7/2023,76.59,807
2/6/2023,74.99,975
2/3/2023,74.19,342
2/2/2023,76.22,548
2/1/2023,76.33,1211
1/31/2023,78.44,10
1/30/2023,77.26,139
1/27/2023,78.35,110
1/26/2023,79.49,7
1/25/2023,79.14,47
1/24/2023,79.44,3
1/23/2023,80.81,66
1/20/2023,80.18,205
1/19/2023,79.33,114
1/18/2023,78.61,507
1/17/2023,78.83,156
1/16/2023,78.36,32
1/13/2023,78.97,459
1/12/2023,78.16,35
1/11/2023,77.44,422
1/10/2023,75.89,112
1/9/2023,76.01,4
1/6/2023,74.85,30
1/5/2023,74.6,62
1/4/2023,74.14,10
1/3/2023,76.11,172
1/2/2023,78.36,#N/A N/A
12/30/2022,78.36,112
12/29/2022,77.12,176
12/28/2022,78.09,113
12/27/2022,78.4,5
12/23/2022,78.19,135
12/22/2022,75.75,74
12/21/2022,76.58,143
12/20/2022,75.66,46
12/19/2022,75.12,123
12/16/2022,74.93,53
12/15/2022,75.81,21
12/14/2022,77.37,140
12/13/2022,76.45,207
12/12/2022,75.64,57
12/9/2022,74.49,32
12/8/2022,74.27,24
12/7/2022,74.91,16
12/6/2022,76.47,126
12/5/2022,78.63,14
12/2/2022,80.33,40
12/1/2022,80.46,14
11/30/2022,81.06,5926
11/29/2022,79.02,8822
11/28/2022,78.42,7805
11/25/2022,77.9,3245
11/24/2022,78.99,1352
11/23/2022,78.67,6897
11/22/2022,79.48,4313
11/21/2022,79.29,10236
11/18/2022,78.6,9837
11/17/2022,79.06,7710
11/16/2022,80.24,5415
11/15/2022,81.59,8156
11/14/2022,80.24,4963
11/11/2022,81.19,6416
11/10/2022,79.54,4338
11/9/2022,79.49,5444
11/8/2022,81.49,6004
11/7/2022,82.92,6019
11/4/2022,83.17,7928
11/3/2022,80.77,4774
11/2/2022,81.82,4315
11/1/2022,80.26,5342
10/31/2022,79.93,12
10/28/2022,80.21,333
10/27/2022,81.28,53
10/26/2022,80.55,95
10/25/2022,79.26,93
10/24/2022,78.31,4
10/21/2022,78.32,15
10/20/2022,78.18,133
10/19/2022,78.66,81
10/18/2022,77.78,72
10/17/2022,77.81,48
10/14/2022,77.24,29
10/13/2022,79.02,39
10/12/2022,77.67,153
10/11/2022,78.94,14
10/10/2022,80.42,203
10/7/2022,81.42,1857
10/6/2022,79.72,1070
10/5/2022,78.74,2927
10/4/2022,77.01,266
10/3/2022,74.95,237
9/30/2022,73.14,10
9/29/2022,74.65,4
9/28/2022,75.63,24
9/27/2022,73.48,125
9/26/2022,72.8,25
9/23/2022,74.33,66
9/22/2022,77.36,107
9/21/2022,76.76,54
9/20/2022,77.27,30
9/19/2022,78.81,73
9/16/2022,78.65,395
9/15/2022,78.69,353
9/14/2022,81.55,#N/A N/A
9/13/2022,81.24,1163
9/12/2022,81.56,72
9/9/2022,80.42,52
9/8/2022,77.86,44
9/7/2022,77.55,84
9/6/2022,80.65,211
9/5/2022,81.1,14
9/2/2022,80.57,152
9/1/2022,80.58,19
8/31/2022,83.24,580
8/30/2022,83.99,791
8/29/2022,86.58,492
8/26/2022,85.16,276
8/25/2022,85.34,907
8/24/2022,86.83,1237
8/23/2022,86.78,3655
8/22/2022,85.26,1921
8/19/2022,85.34,2365
8/18/2022,84.91,352
8/17/2022,84.32,381
8/16/2022,83.76,985
8/15/2022,84.99,421
8/12/2022,86.3,603
8/11/2022,87.06,564
8/10/2022,86.14,472
8/9/2022,84.7,304
8/8/2022,85.01,448
8/5/2022,82.99,618
8/4/2022,82.82,798
8/3/2022,85.37,680
8/2/2022,86.94,827
8/1/2022,85.66,661
7/29/2022,88.14,195
7/28/2022,86.71,235
7/27/2022,87.32,148
7/26/2022,85.4,517
7/25/2022,85.42,827
7/22/2022,83.75,210
7/21/2022,84.44,306
7/20/2022,85.86,222
7/19/2022,85.88,1307
7/18/2022,85.52,207
7/15/2022,82.38,625
7/14/2022,81.24,700
7/13/2022,82.83,448
7/12/2022,82.24,264
7/11/2022,86.56,92
7/8/2022,85.18,136
7/7/2022,83.57,289
7/6/2022,81.38,389
7/5/2022,81.6,969
7/4/2022,89.18,111
7/1/2022,87.84,298
6/30/2022,88.07,147
6/29/2022,91.34,255
6/28/2022,92.65,362
6/27/2022,90.17,183
6/24/2022,88.8,845
6/23/2022,86.9,639
6/22/2022,89.96,413
6/21/2022,91.72,221
6/20/2022,92.19,177
6/17/2022,91.53,283
6/16/2022,95.31,226
6/15/2022,94.27,379
6/14/2022,95.27,560
6/13/2022,96.49,1170
6/10/2022,95.98,429
6/9/2022,97.01,623
6/8/2022,96.58,910
6/7/2022,94.87,344
6/6/2022,93.02,763
6/3/2022,93.13,72
6/2/2022,92.32,158
6/1/2022,91.11,797
5/31/2022,91.33,32043
5/30/2022,92.5,8233
5/27/2022,92,21473
5/26/2022,91.6,25193
5/25/2022,90.55,16667
5/24/2022,90.04,16765
5/23/2022,89.64,12790
5/20/2022,88.71,14293
5/19/2022,89.12,27350
5/18/2022,87.62,22715
5/17/2022,89.44,28578
5/16/2022,90.18,17693
5/13/2022,89.81,16109
5/12/2022,88.57,21661
5/11/2022,89.1,24966
5/10/2022,85.34,37075
5/9/2022,86.52,28928
5/6/2022,89.87,16918
5/5/2022,89.06,28208
5/4/2022,88.91,26933
5/3/2022,86.18,15848
5/2/2022,86.71,16552
4/29/2022,86.85,106
4/28/2022,87.63,193
4/27/2022,87.47,571
4/26/2022,87.59,133
4/25/2022,86.89,859
4/22/2022,88.69,141
4/21/2022,90.74,292
4/20/2022,89.4,622
4/19/2022,88.87,62
4/18/2022,92.5,40
4/14/2022,92.73,38
4/13/2022,92.65,83
4/12/2022,91.01,218
4/11/2022,88.79,121
4/8/2022,90.2,272
4/7/2022,89.31,233
4/6/2022,88.63,251
4/5/2022,90.68,169
4/4/2022,91.44,278
4/1/2022,89.49,96
3/31/2022,87.95,146
3/30/2022,88.6,1206
3/29/2022,86.34,479
3/28/2022,86.38,138
3/25/2022,89.81,796
3/24/2022,88.52,520
3/23/2022,90.51,696
3/22/2022,88.66,406
3/21/2022,89.11,585
3/18/2022,86.49,249
3/17/2022,85.74,78
3/16/2022,81.52,503
3/15/2022,83.21,453
3/14/2022,84.38,240
3/11/2022,87.51,70
3/10/2022,84.46,375
3/9/2022,83.67,163
3/8/2022,91.96,82
3/7/2022,93.02,442
3/4/2022,91.92,241
3/3/2022,86.22,195
3/2/2022,85.61,478
3/1/2022,82.06,1390
2/28/2022,80.87,660
2/25/2022,80.12,935
2/24/2022,81.09,2709
2/23/2022,81.93,499
2/22/2022,81.09,607
2/21/2022,80.89,212
2/18/2022,79.76,570
2/17/2022,79.19,823
2/16/2022,79.74,1893
2/15/2022,78.96,820
2/14/2022,81.31,1152
2/11/2022,80.79,1155
2/10/2022,79.72,547
2/9/2022,79.7,374
2/8/2022,78.6,583
2/7/2022,79.6,466
2/4/2022,79.29,906
2/3/2022,78.46,556
2/2/2022,77.36,284
2/1/2022,76.94,142
1/31/2022,77.34,164
1/28/2022,76.92,162
1/27/2022,77.07,219
1/26/2022,77.69,644
1/25/2022,77,519
1/24/2022,75.9,429
1/21/2022,76.91,448
1/20/2022,77.24,209
1/19/2022,76.78,156
1/18/2022,76.4,285
1/17/2022,75.67,47
1/14/2022,75.33,255
1/13/2022,74.36,207
1/12/2022,74.49,181
1/11/2022,74.17,210
1/10/2022,72.43,369
1/7/2022,72.95,160
1/6/2022,73.06,142
1/5/2022,72.55,80
1/4/2022,72.6,84
1/3/2022,71.66,64
12/31/2021,70.48,42
12/30/2021,72.23,28
12/29/2021,71.96,14
12/28/2021,71.36,160
12/27/2021,71.12,84
12/24/2021,68.67,#N/A N/A
12/23/2021,69.78,199
12/22/2021,68.85,122
12/21/2021,68.59,51
12/20/2021,66.78,570
12/17/2021,68.05,21
12/16/2021,69.36,6
12/15/2021,68.99,121
12/14/2021,69.35,207
12/13/2021,69.77,84
12/10/2021,70.07,71
12/9/2021,69.83,102
12/8/2021,70.85,168
12/7/2021,70.15,99
12/6/2021,68.13,165
12/3/2021,65.87,323
12/2/2021,65.37,264
12/1/2021,64.62,173
11/30/2021,64.69,18163
11/29/2021,67.98,15983
11/26/2021,66.27,19147
11/25/2021,73.5,2407
11/24/2021,73.16,4653
11/23/2021,73.4,10060
11/22/2021,71.64,5191
11/19/2021,70.75,9445
11/18/2021,72.45,10908
