Security,CO6 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,83.93,27362
4/11/2023,82.64,19966
4/10/2023,81.4,10986
4/6/2023,82.1,16635
4/5/2023,82.15,28631
4/4/2023,82.07,32203
4/3/2023,82.08,41039
3/31/2023,78.71,22460
3/30/2023,77.51,19629
3/29/2023,76.57,28000
3/28/2023,77.07,31927
3/27/2023,76.87,22623
3/24/2023,73.81,30511
3/23/2023,74.61,26577
3/22/2023,75.36,32619
3/21/2023,74.11,34155
3/20/2023,72.88,43549
3/17/2023,72.03,40930
3/16/2023,73.29,35965
3/15/2023,72.31,69423
3/14/2023,75.75,28246
3/13/2023,78.74,34210
3/10/2023,80.47,20492
3/9/2023,79.49,19515
3/8/2023,80.58,21581
3/7/2023,81.19,22463
3/6/2023,83.73,15678
3/3/2023,83.31,19974
3/2/2023,82.1,16280
3/1/2023,81.69,14737
2/28/2023,81.37,32285
2/27/2023,80.23,31126
2/24/2023,81.03,32529
2/23/2023,80.33,49956
2/22/2023,79.11,44520
2/21/2023,81.09,26721
2/20/2023,82.04,15763
2/17/2023,80.95,34135
2/16/2023,82.89,25120
2/15/2023,83.09,33084
2/14/2023,83.36,35546
2/13/2023,84.08,24695
2/10/2023,83.74,46402
2/9/2023,82.03,40052
2/8/2023,82.68,33166
2/7/2023,81.52,39037
2/6/2023,79.14,45823
2/3/2023,78.19,44266
2/2/2023,80.56,46670
2/1/2023,80.89,43773
1/31/2023,83.83,25490
1/30/2023,82.7,22764
1/27/2023,84.47,25494
1/26/2023,85.64,19808
1/25/2023,84.84,17015
1/24/2023,85.01,17349
1/23/2023,86.64,20604
1/20/2023,86.13,16775
1/19/2023,84.94,22128
1/18/2023,84.03,28307
1/17/2023,84.53,20492
1/16/2023,83.21,14524
1/13/2023,84.11,23451
1/12/2023,82.83,29106
1/11/2023,81.7,29006
1/10/2023,79.54,24433
1/9/2023,79.34,18222
1/6/2023,78.17,20488
1/5/2023,78.15,19650
1/4/2023,77.39,22726
1/3/2023,80.78,17447
1/2/2023,83.63,#N/A N/A
12/30/2022,83.63,8232
12/29/2022,82.09,18049
12/28/2022,82.86,18089
12/27/2022,83.47,9989
12/23/2022,83.21,11555
12/22/2022,80.44,19377
12/21/2022,81.4,17651
12/20/2022,79.68,15283
12/19/2022,78.98,14469
12/16/2022,78.67,18074
12/15/2022,80.08,19228
12/14/2022,81.72,24472
12/13/2022,80.26,37923
12/12/2022,78.38,22343
12/9/2022,76.89,23794
12/8/2022,76.91,25525
12/7/2022,77.82,34908
12/6/2022,79.68,35954
12/5/2022,82.26,28485
12/2/2022,84.66,23483
12/1/2022,85.46,18300
11/30/2022,86.16,82073
11/29/2022,83.48,118316
11/28/2022,82.88,111648
11/25/2022,82.54,46787
11/24/2022,84.1,45285
11/23/2022,83.77,98387
11/22/2022,85.39,80382
11/21/2022,84.98,150632
11/18/2022,84.57,137330
11/17/2022,85.55,91846
11/16/2022,87.64,66258
11/15/2022,88.9,96238
11/14/2022,87.53,63444
11/11/2022,89.45,53571
11/10/2022,87.31,62520
11/9/2022,86.72,68541
11/8/2022,89.28,70017
11/7/2022,91.22,61252
11/4/2022,91.53,84040
11/3/2022,88.07,46839
11/2/2022,89.24,59643
11/1/2022,87.51,58212
10/31/2022,87.03,20138
10/28/2022,87.71,19520
10/27/2022,89.14,18914
10/26/2022,88.19,24551
10/25/2022,86.44,17562
10/24/2022,85.6,12765
10/21/2022,85.43,18272
10/20/2022,84.75,22402
10/19/2022,85.24,33760
10/18/2022,83.91,27611
10/17/2022,84.95,19535
10/14/2022,84.73,21051
10/13/2022,87.14,26539
10/12/2022,85.25,32003
10/11/2022,86.65,21604
10/10/2022,88.48,19452
10/7/2022,89.8,31286
10/6/2022,87.27,14808
10/5/2022,86.15,24446
10/4/2022,84.19,20019
10/3/2022,81.56,16820
9/30/2022,79.63,22311
9/29/2022,81.47,17321
9/28/2022,82.23,20624
9/27/2022,79.46,21715
9/26/2022,78.2,14484
9/23/2022,80.37,24709
9/22/2022,84.48,14353
9/21/2022,83.63,17341
9/20/2022,84.14,14193
9/19/2022,85.41,9748
9/16/2022,84.92,15530
9/15/2022,84.7,25933
9/14/2022,88.33,14627
9/13/2022,87.82,18323
9/12/2022,88.76,10975
9/9/2022,87.48,12644
9/8/2022,84.5,18081
9/7/2022,83.84,20418
9/6/2022,87.99,11799
9/5/2022,89.61,7673
9/2/2022,87.68,11690
9/1/2022,87.54,17741
8/31/2022,90.76,46481
8/30/2022,92.49,47977
8/29/2022,96.07,19510
8/26/2022,93.33,34271
8/25/2022,93.67,28355
8/24/2022,95.54,46765
8/23/2022,94.8,36641
8/22/2022,92.2,30786
8/19/2022,92.43,23497
8/18/2022,91.85,26509
8/17/2022,90.06,32279
8/16/2022,89.01,29957
8/15/2022,90.98,22829
8/12/2022,92.98,22812
8/11/2022,94.27,26192
8/10/2022,92.58,27508
8/9/2022,91.01,22887
8/8/2022,91.27,30564
8/5/2022,89.18,22765
8/4/2022,88.75,29859
8/3/2022,91.51,35583
8/2/2022,94.27,29524
8/1/2022,93.17,25869
7/29/2022,96.74,20422
7/28/2022,94.95,15442
7/27/2022,95.12,22008
7/26/2022,92.7,21671
7/25/2022,93.18,13677
7/22/2022,91.26,18944
7/21/2022,92.24,20642
7/20/2022,94.19,17718
7/19/2022,94.07,17613
7/18/2022,93.46,14856
7/15/2022,89.54,19581
7/14/2022,88.15,29141
7/13/2022,89.46,20701
7/12/2022,88.87,23438
7/11/2022,95.04,13788
7/8/2022,94.39,23205
7/7/2022,91.91,23391
7/6/2022,88.52,27080
7/5/2022,89.58,30686
7/4/2022,99.43,8261
7/1/2022,98.25,17165
6/30/2022,98.6,27985
6/29/2022,102.36,23927
6/28/2022,104.15,20312
6/27/2022,101.28,13401
6/24/2022,99.74,25884
6/23/2022,97.85,20395
6/22/2022,100.85,30792
6/21/2022,103.54,15855
6/20/2022,103.49,10585
6/17/2022,102.65,22998
6/16/2022,108.63,21622
6/15/2022,107.19,21873
6/14/2022,108.9,25242
6/13/2022,110.33,16272
6/10/2022,110.44,22794
6/9/2022,111.96,19382
6/8/2022,112.29,21354
6/7/2022,110,25649
6/6/2022,108.33,16083
6/3/2022,108.21,11703
6/2/2022,106.51,19349
6/1/2022,104.92,18572
5/31/2022,105.67,123777
5/30/2022,107.46,34855
5/27/2022,106.2,89773
5/26/2022,105.44,80101
5/25/2022,103.01,61537
5/24/2022,102.28,73397
5/23/2022,102.01,62227
5/20/2022,101.04,53572
5/19/2022,101.24,103019
5/18/2022,98.76,95405
5/17/2022,101.61,113450
5/16/2022,103.37,87790
5/13/2022,102.24,70223
5/12/2022,99.64,88269
5/11/2022,100.08,107684
5/10/2022,95.84,120849
5/9/2022,98.55,98430
5/6/2022,103.61,84711
5/5/2022,102,99720
5/4/2022,101.73,101645
5/3/2022,97.45,66285
5/2/2022,98.78,63247
4/29/2022,99.79,32744
4/28/2022,100.4,33536
4/27/2022,99.4,23214
4/26/2022,99.09,33949
4/25/2022,97.36,32769
4/22/2022,100.41,20417
4/21/2022,102.53,23733
4/20/2022,101.14,28024
4/19/2022,100.71,30698
4/18/2022,105.39,14741
4/14/2022,105.03,25675
4/13/2022,103.42,28022
4/12/2022,100.74,32480
4/11/2022,96.16,25566
4/8/2022,98.86,23745
4/7/2022,96.95,36284
4/6/2022,96.51,30876
4/5/2022,100.17,20523
4/4/2022,100.93,23125
4/1/2022,98.03,33045
3/31/2022,98.04,51830
3/30/2022,101.78,28886
3/29/2022,98.12,46095
3/28/2022,98.63,27334
3/25/2022,104.69,27134
3/24/2022,103.02,32184
3/23/2022,105.23,38667
3/22/2022,101.57,32558
3/21/2022,101.73,25511
3/18/2022,97.06,19565
3/17/2022,95.56,25671
3/16/2022,89.46,26062
3/15/2022,91.5,34870
3/14/2022,94.67,28958
3/11/2022,99.36,31350
3/10/2022,95.59,48968
3/9/2022,95.55,55577
3/8/2022,108.85,60469
3/7/2022,106.46,40428
3/4/2022,103.58,36646
3/3/2022,95.9,42590
3/2/2022,95.94,43517
3/1/2022,91.21,62363
2/28/2022,89.74,58677
2/25/2022,87.65,38687
2/24/2022,88.69,109488
2/23/2022,88.82,36777
2/22/2022,88.09,46396
2/21/2022,87.71,26197
2/18/2022,86.4,45418
2/17/2022,85.69,42663
2/16/2022,86.82,68350
2/15/2022,85.88,38643
2/14/2022,88.96,41830
2/11/2022,87.87,63490
2/10/2022,86.13,40835
2/9/2022,86.26,33053
2/8/2022,85.33,41439
2/7/2022,86.93,29611
2/4/2022,87.05,32926
2/3/2022,85.57,40194
2/2/2022,84.18,33483
2/1/2022,83.77,27697
1/31/2022,84.68,22804
1/28/2022,84.11,31224
1/27/2022,84.15,22811
1/26/2022,84.88,25580
1/25/2022,83.67,18843
1/24/2022,82.18,21417
1/21/2022,83.7,20539
1/20/2022,84.28,20236
1/19/2022,84.16,26609
1/18/2022,83.5,29798
1/17/2022,82.59,12382
1/14/2022,82.23,22952
1/13/2022,80.87,18545
1/12/2022,81.07,28039
1/11/2022,80.37,17684
1/10/2022,77.89,16841
1/7/2022,78.51,16537
1/6/2022,78.74,20775
1/5/2022,77.85,24387
1/4/2022,77.56,16598
1/3/2022,76.57,7938
12/31/2021,75.32,9905
12/30/2021,77.52,10224
12/29/2021,77.22,16390
12/28/2021,76.65,7491
12/27/2021,76.18,4747
12/24/2021,73.65,6419
12/23/2021,74.6,11626
12/22/2021,73.45,12333
12/21/2021,72.45,19431
12/20/2021,70.23,25611
12/17/2021,71.99,23467
12/16/2021,73.4,20379
12/15/2021,72.46,19341
12/14/2021,72.48,17484
12/13/2021,73.07,13871
12/10/2021,73.53,15326
12/9/2021,73.02,21182
12/8/2021,74.3,26990
12/7/2021,73.71,21789
12/6/2021,71.36,20250
12/3/2021,68.46,32372
12/2/2021,68.13,62726
12/1/2021,67.31,44778
11/30/2021,67.82,188575
11/29/2021,71.62,125523
11/26/2021,69.94,181138
11/25/2021,78.66,23605
11/24/2021,78.66,70644
11/23/2021,78.88,121283
