Security,CO1 Comdty                                                      ,
Start Date,4/11/2003 0:00,
End Date,4/12/2023 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/12/2023,87.34,342958
4/11/2023,85.61,262666
4/10/2023,84.18,140529
4/6/2023,85.12,259617
4/5/2023,84.99,246479
4/4/2023,84.94,308533
4/3/2023,84.93,478307
3/31/2023,79.77,6853
3/30/2023,79.27,62922
3/29/2023,78.28,79541
3/28/2023,78.65,145681
3/27/2023,78.12,146945
3/24/2023,74.99,156306
3/23/2023,75.91,199644
3/22/2023,76.69,194042
3/21/2023,75.32,226837
3/20/2023,73.79,282569
3/17/2023,72.97,427490
3/16/2023,74.7,332586
3/15/2023,73.69,547561
3/14/2023,77.45,357862
3/13/2023,80.77,467281
3/10/2023,82.78,369281
3/9/2023,81.59,282564
3/8/2023,82.66,297087
3/7/2023,83.29,295188
3/6/2023,86.18,244340
3/3/2023,85.83,312895
3/2/2023,84.75,214215
3/1/2023,84.31,242656
2/28/2023,83.89,12300
2/27/2023,82.45,58845
2/24/2023,83.16,107150
2/23/2023,82.21,157669
2/22/2023,80.6,253144
2/21/2023,83.05,231628
2/20/2023,84.07,143850
2/17/2023,83,303660
2/16/2023,85.14,197021
2/15/2023,85.38,245984
2/14/2023,85.58,231627
2/13/2023,86.61,207621
2/10/2023,86.39,297344
2/9/2023,84.5,260730
2/8/2023,85.09,254144
2/7/2023,83.69,290979
2/6/2023,80.99,325206
2/3/2023,79.94,330324
2/2/2023,82.17,287085
2/1/2023,82.84,348662
1/31/2023,84.49,11891
1/30/2023,84.9,65548
1/27/2023,86.66,107084
1/26/2023,87.47,139104
1/25/2023,86.12,159465
1/24/2023,86.13,207745
1/23/2023,88.19,192408
1/20/2023,87.63,212917
1/19/2023,86.16,250959
1/18/2023,84.98,288148
1/17/2023,85.92,238298
1/16/2023,84.46,125963
1/13/2023,85.28,217396
1/12/2023,84.03,264068
1/11/2023,82.67,273786
1/10/2023,80.1,244353
1/9/2023,79.65,245120
1/6/2023,78.57,215424
1/5/2023,78.69,259584
1/4/2023,77.84,319305
1/3/2023,82.1,302855
1/2/2023,85.91,#N/A N/A
12/30/2022,85.91,168654
12/29/2022,82.26,10986
12/28/2022,83.26,57560
12/27/2022,84.33,61995
12/23/2022,83.92,82361
12/22/2022,80.98,166011
12/21/2022,82.2,148437
12/20/2022,79.99,183945
12/19/2022,79.8,174244
12/16/2022,79.04,243493
12/15/2022,81.21,194974
12/14/2022,82.7,209833
12/13/2022,80.68,243816
12/12/2022,77.99,213072
12/9/2022,76.1,216497
12/8/2022,76.15,259015
12/7/2022,77.17,279365
12/6/2022,79.35,309553
12/5/2022,82.68,252904
12/2/2022,85.57,198732
12/1/2022,86.88,229128
11/30/2022,85.43,9048
11/29/2022,83.03,67931
11/28/2022,83.19,102556
11/25/2022,83.63,85308
11/24/2022,85.34,75611
11/23/2022,85.41,212138
11/22/2022,88.36,190846
11/21/2022,87.45,354597
11/18/2022,87.62,379661
11/17/2022,89.78,313529
11/16/2022,92.86,257615
11/15/2022,93.86,317499
11/14/2022,93.14,248245
11/11/2022,95.99,238066
11/10/2022,93.67,278533
11/9/2022,92.65,308020
11/8/2022,95.36,251667
11/7/2022,97.92,241941
11/4/2022,98.57,307087
11/3/2022,94.67,229115
11/2/2022,96.16,253003
11/1/2022,94.65,247652
10/31/2022,94.83,14997
10/28/2022,95.77,89938
10/27/2022,96.96,84574
10/26/2022,95.69,138002
10/25/2022,93.52,165514
10/24/2022,93.26,179202
10/21/2022,93.5,203280
10/20/2022,92.38,237540
10/19/2022,92.41,272350
10/18/2022,90.03,320421
10/17/2022,91.62,203801
10/14/2022,91.63,210773
10/13/2022,94.57,280518
10/12/2022,92.45,257656
10/11/2022,94.29,259027
10/10/2022,96.19,215365
10/7/2022,97.92,269400
10/6/2022,94.42,207526
10/5/2022,93.37,296201
10/4/2022,91.8,282379
10/3/2022,88.86,270689
9/30/2022,87.96,5892
9/29/2022,88.49,57863
9/28/2022,89.32,74332
9/27/2022,86.27,104088
9/26/2022,84.06,119602
9/23/2022,86.15,180102
9/22/2022,90.46,170284
9/21/2022,89.83,216932
9/20/2022,90.62,188559
9/19/2022,92,138529
9/16/2022,91.35,197482
9/15/2022,90.84,257617
9/14/2022,94.1,259902
9/13/2022,93.17,275167
9/12/2022,94,210433
9/9/2022,92.84,202939
9/8/2022,89.15,208658
9/7/2022,88,300200
9/6/2022,92.83,225949
9/5/2022,95.74,144255
9/2/2022,93.02,210002
9/1/2022,92.36,297547
8/31/2022,96.49,10070
8/30/2022,99.31,59833
8/29/2022,105.09,53025
8/26/2022,100.99,130634
8/25/2022,99.34,161491
8/24/2022,101.22,183731
8/23/2022,100.22,210633
8/22/2022,96.48,207640
8/19/2022,96.72,178601
8/18/2022,96.59,208551
8/17/2022,93.65,199193
8/16/2022,92.34,217751
8/15/2022,95.1,217574
8/12/2022,98.15,188126
8/11/2022,99.6,219416
8/10/2022,97.4,247741
8/9/2022,96.31,219670
8/8/2022,96.65,201246
8/5/2022,94.92,216197
8/4/2022,94.12,264805
8/3/2022,96.78,293111
8/2/2022,100.54,229684
8/1/2022,100.03,272835
7/29/2022,110.01,9127
7/28/2022,107.14,80841
7/27/2022,106.62,77693
7/26/2022,104.4,110001
7/25/2022,105.15,123666
7/22/2022,103.2,137242
7/21/2022,103.86,228699
7/20/2022,106.92,186695
7/19/2022,107.35,226403
7/18/2022,106.27,213498
7/15/2022,101.16,218091
7/14/2022,99.1,318794
7/13/2022,99.57,247469
7/12/2022,99.49,275618
7/11/2022,107.1,194659
7/8/2022,107.02,238348
7/7/2022,104.65,279661
7/6/2022,100.69,350296
7/5/2022,102.77,428839
7/4/2022,113.5,100588
7/1/2022,111.63,235417
6/30/2022,114.81,7113
6/29/2022,116.26,54344
6/28/2022,117.98,65764
6/27/2022,115.09,118097
6/24/2022,113.12,134176
6/23/2022,110.05,195916
6/22/2022,111.74,293049
6/21/2022,114.65,204031
6/20/2022,114.13,161603
6/17/2022,113.12,319905
6/16/2022,119.81,276675
6/15/2022,118.51,231061
6/14/2022,121.17,291264
6/13/2022,122.27,257105
6/10/2022,122.01,294278
6/9/2022,123.07,218983
6/8/2022,123.58,256288
6/7/2022,120.57,276716
6/6/2022,119.51,204089
6/3/2022,119.72,141657
6/2/2022,117.61,216903
6/1/2022,116.29,242156
5/31/2022,122.84,11561
5/30/2022,121.67,42413
5/27/2022,119.43,81158
5/26/2022,117.4,123575
5/25/2022,114.03,152329
5/24/2022,113.56,191734
5/23/2022,113.42,196505
5/20/2022,112.55,180892
5/19/2022,112.04,272347
5/18/2022,109.11,245044
5/17/2022,111.93,277888
5/16/2022,114.24,218438
5/13/2022,111.55,220316
5/12/2022,107.45,264263
5/11/2022,107.51,287529
5/10/2022,102.46,327990
5/9/2022,105.94,302174
5/6/2022,112.39,249825
5/5/2022,110.9,279883
5/4/2022,110.14,241680
5/3/2022,104.97,184195
5/2/2022,107.58,151340
4/29/2022,109.34,12018
4/28/2022,107.59,73317
4/27/2022,105.32,67057
4/26/2022,104.99,138203
4/25/2022,102.32,156353
4/22/2022,106.65,125868
4/21/2022,108.33,185375
4/20/2022,106.8,243672
4/19/2022,107.25,239907
4/18/2022,113.16,132154
4/14/2022,111.7,210179
4/13/2022,108.78,247255
4/12/2022,104.64,273948
4/11/2022,98.48,238692
4/8/2022,102.78,217643
4/7/2022,100.58,296034
4/6/2022,101.07,286516
4/5/2022,106.64,203055
4/4/2022,107.53,218681
4/1/2022,104.39,238624
3/31/2022,107.91,8678
3/30/2022,113.45,72332
3/29/2022,110.23,93679
3/28/2022,112.48,150818
3/25/2022,120.65,133459
3/24/2022,119.03,177664
3/23/2022,121.6,224526
3/22/2022,115.48,204659
3/21/2022,115.62,196494
3/18/2022,107.93,168906
3/17/2022,106.64,200947
3/16/2022,98.02,246821
3/15/2022,99.91,318121
3/14/2022,106.9,265914
3/11/2022,112.67,287385
3/10/2022,109.33,352338
3/9/2022,111.14,521577
3/8/2022,127.98,469994
3/7/2022,123.21,419930
3/4/2022,118.11,334408
3/3/2022,110.46,452523
3/2/2022,112.93,490567
3/1/2022,104.97,492513
2/28/2022,100.99,22961
2/25/2022,97.93,68982
2/24/2022,99.08,167791
2/23/2022,96.84,238632
2/22/2022,96.84,316384
2/21/2022,95.39,217035
2/18/2022,93.54,348345
2/17/2022,92.97,347788
2/16/2022,94.81,393794
2/15/2022,93.28,378253
2/14/2022,96.48,373086
2/11/2022,94.44,452105
2/10/2022,91.41,369013
2/9/2022,91.55,294004
2/8/2022,90.78,368548
2/7/2022,92.69,317289
2/4/2022,93.27,322131
2/3/2022,91.11,301787
2/2/2022,89.47,319432
2/1/2022,89.16,271771
1/31/2022,91.21,11010
1/28/2022,90.03,102009
1/27/2022,89.34,131704
1/26/2022,89.96,260111
1/25/2022,88.2,256212
1/24/2022,86.27,309894
1/21/2022,87.89,288214
1/20/2022,88.38,279524
1/19/2022,88.44,350935
1/18/2022,87.51,356876
1/17/2022,86.48,139817
1/14/2022,86.06,304718
1/13/2022,84.47,265203
1/12/2022,84.67,301386
1/11/2022,83.72,324941
1/10/2022,80.87,300651
1/7/2022,81.75,286113
1/6/2022,81.99,353156
1/5/2022,80.8,331736
1/4/2022,80,291677
1/3/2022,78.98,201029
12/31/2021,77.78,148959
12/30/2021,79.32,10896
12/29/2021,79.23,69626
12/28/2021,78.94,50411
12/27/2021,78.6,85387
12/24/2021,76.14,30538
12/23/2021,76.85,161242
12/22/2021,75.29,166713
12/21/2021,73.98,214067
12/20/2021,71.52,333764
12/17/2021,73.52,231412
12/16/2021,75.02,223637
12/15/2021,73.88,233190
12/14/2021,73.7,277860
12/13/2021,74.39,265514
12/10/2021,75.15,221360
12/9/2021,74.42,283389
12/8/2021,75.82,322080
12/7/2021,75.44,312282
12/6/2021,73.08,255401
12/3/2021,69.88,331824
12/2/2021,69.67,526601
12/1/2021,68.87,420402
11/30/2021,70.57,24823
11/29/2021,73.44,126354
11/26/2021,72.72,170776
11/25/2021,82.22,80445
11/24/2021,82.25,231071
11/23/2021,82.31,366596
